Country_Region,Province_State,lat,lon,continent,population,area,density
Burundi,,-3.3731,29.9189,Africa,11745876,27834,422
Cabo Verde,,16.5388,-23.0418,Africa,549935,4033,136.36
Cambodia,,11.55,104.9167,Asia,16486542,181035,91.07
Cameroon,,3.848,11.5021,Africa,25876380,475442,54.43
Canada,Alberta,53.9333,-116.5765,Americas,4413146,640330,6.89
Canada,British Columbia,49.2827,-123.1207,Americas,5110917,922503,5.54
Canada,Manitoba,53.7609,-98.8139,Americas,1377517,552371,2.49
Canada,New Brunswick,46.5653,-66.4619,Americas,779993,71389,10.93
Canada,Newfoundland and Labrador,53.1355,-57.6604,Americas,521365,370514,1.41
Canada,Northwest Territories,64.8255,-124.8457,Americas,44904,1143794,0.04
Canada,Nova Scotia,44.682,-63.7443,Americas,977457,1877779,0.52
Canada,Ontario,51.2538,-85.3232,Americas,14711827,908699,16.19
Canada,Prince Edward Island,46.5107,-63.4168,Americas,158158,5686,27.82
Canada,Quebec,52.9399,-73.5491,Americas,8537674,1356625,6.29
Canada,Saskatchewan,52.9399,-106.4509,Americas,1181666,588244,2.01
Canada,Yukon,64.2823,-135,Americas,41078,474713,0.09
Central African Republic,,6.6111,20.9394,Africa,4745185,622984,7.62
Chad,,15.4542,18.7322,Africa,15946876,1284000,12.42
Chile,,-35.6751,-71.543,Americas,18952038,756102,25.07
China,Anhui,31.8257,117.2264,Asia,62550000,139400,448.71
China,Beijing,40.1824,116.4142,Asia,21710000,16411,1322.89
China,Chongqing,30.0572,107.874,Asia,30750000,82400,373.18
China,Fujian,26.0789,117.9874,Asia,39110000,123900,315.66
China,Gansu,37.8099,101.0583,Asia,26260000,425800,61.67
China,Guangdong,23.3417,113.4244,Asia,111690000,179700,621.54
China,Guangxi,23.8298,108.7881,Asia,48850000,237600,205.6
China,Guizhou,26.8154,106.8748,Asia,35550000,176200,201.76
China,Hainan,19.1959,109.7453,Asia,9170000,35354,259.38
China,Hebei,39.549,116.1306,Asia,75200000,188800,398.31
China,Heilongjiang,47.862,127.7615,Asia,37890000,454800,83.31
China,Henan,33.882,113.614,Asia,95590000,167500,570.69
China,Hong Kong,22.3,114.2,Asia,7335384,1106,6632.35
China,Hubei,30.9756,112.2707,Asia,59020000,185900,317.48
China,Hunan,27.6104,111.7088,Asia,68600000,211800,323.89
China,Inner Mongolia,44.0935,113.9448,Asia,25290000,1183000,21.38
China,Jiangsu,32.9711,119.455,Asia,80290000,102600,782.55
China,Jiangxi,27.614,115.7221,Asia,46220000,166900,276.93
China,Jilin,43.6661,126.1923,Asia,27170000,187400,144.98
China,Liaoning,41.2956,122.6085,Asia,43690000,148400,294.41
China,Macau,22.1667,113.55,Asia,644900,30,21496.67
China,Ningxia,37.2692,106.1655,Asia,6820000,66400,102.71
China,Qinghai,35.7452,95.9956,Asia,5980000,722300,8.28
China,Shaanxi,35.1917,108.8701,Asia,38350000,205800,186.35
China,Shandong,36.3427,118.1498,Asia,100060000,157100,636.92
China,Shanghai,31.202,121.4491,Asia,24180000,6340,3813.88
China,Shanxi,37.5777,112.2922,Asia,36820000,156700,234.97
China,Sichuan,30.6171,102.7103,Asia,83020000,486100,170.79
China,Tianjin,39.3054,117.323,Asia,15570000,11917,1306.54
China,Tibet,31.6927,88.0924,Asia,3370000,1228400,2.74
China,Xinjiang,41.1129,85.2401,Asia,24450000,1664900,14.69
China,Yunnan,24.974,101.487,Asia,48010000,394100,121.82
China,Zhejiang,29.1832,120.0934,Asia,56570000,101800,555.7
Colombia,,4.5709,-74.2973,Americas,50339443,1141748,44.09
Congo (Brazzaville),,-4.0383,21.7587,Africa,5380508,342000,15.73
Congo (Kinshasa),,-4.0383,21.7587,Africa,86790567,2344858,37.01
Costa Rica,,9.7489,-83.7534,Americas,5047561,51100,98.78
Cote d'Ivoire,,7.54,-5.5471,Africa,25716544,322463,79.75
Croatia,,45.1,15.2,Europe,4130304,56594,72.98
Cuba,,22,-80,Americas,11333483,109884,103.14
Cyprus,,35.1264,33.4299,Asia,1179551,9251,127.51
Czechia,,49.8175,15.473,Europe,10689209,78865,135.54
Denmark,Faroe Islands,61.8926,-6.9118,Europe,51783,1399,37.01
Denmark,Greenland,71.7069,-42.6043,Europe,55992,2166086,0.03
Denmark,,56.2639,9.5018,Europe,5771876,43094,133.94
Diamond Princess,,0,0,Oceania,3711,1,3711
Djibouti,,11.8251,42.5903,Africa,973560,23200,41.96
Dominica,,15.415,-61.371,Americas,71808,751,95.62
Dominican Republic,,18.7357,-70.1627,Americas,10738958,48671,220.64
Ecuador,,-1.8312,-78.1834,Americas,17373662,276841,62.76
Egypt,,26,30,Africa,100388073,1002450,100.14
El Salvador,,13.7942,-88.8965,Americas,6453553,21041,306.71
Equatorial Guinea,,1.5,10,Africa,1355986,28051,48.34
Eritrea,,15.1794,39.7823,Africa,3497117,117600,29.74
Estonia,,58.5953,25.0136,Europe,1325648,45227,29.31
Eswatini,,-26.5225,31.4659,Africa,1148130,17364,66.12
Ethiopia,,9.145,40.4897,Africa,112078730,1104300,101.49
Fiji,,-17.7134,178.065,Oceania,889953,18272,48.71
Finland,,64,26,Europe,5532156,338424,16.35
France,French Guiana,3.9339,-53.1258,Europe,269352,83534,3.22
France,French Polynesia,-17.6797,-149.4068,Europe,275918,4167,66.22
France,Guadeloupe,16.25,-61.5833,Europe,394110,1628,242.08
France,Martinique,14.6415,-61.0242,Europe,376480,1128,333.76
France,Mayotte,-12.8275,45.1662,Europe,256518,374,685.88
France,New Caledonia,-20.9043,165.618,Europe,271407,18576,14.61
France,Reunion,-21.1351,55.2471,Europe,852924,2504,340.62
France,Saint Barthelemy,17.9,-62.8333,Europe,9793,25,391.72
France,Saint Pierre and Miquelon,46.8852,-56.3159,Europe,6008,242,24.83
France,St Martin,18.0708,-63.0501,Europe,77741,53,1466.81
France,,46.2276,2.2137,Europe,65129728,640679,101.66
Gabon,,-0.8037,11.6094,Africa,2172579,267668,8.12
Gambia,,13.4432,-15.3101,Africa,2347706,11295,207.85
Georgia,,42.3154,43.3569,Asia,3996765,69700,57.34
Germany,,51,9,Europe,83517045,357114,233.87
Ghana,,7.9465,-1.0232,Africa,28833629,238533,120.88
Greece,,39.0742,21.8243,Europe,10473455,131957,79.37
Grenada,,12.1165,-61.679,Americas,112003,344,325.59
Guatemala,,15.7835,-90.2308,Americas,17581472,108889,161.46
Guinea,,9.9456,-9.6966,Africa,12771246,245857,51.95
Guinea-Bissau,,11.8037,-15.1804,Africa,1920922,36125,53.17
Guyana,,5,-58.75,Americas,782766,214969,3.64
Haiti,,18.9712,-72.2852,Americas,11263770,27750,405.9
Holy See,,41.9029,12.4534,Europe,799,0,1815.91
Honduras,,15.2,-86.2419,Americas,9746117,112492,86.64
Hungary,,47.1625,19.5033,Europe,9684679,93028,104.1
Iceland,,64.9631,-19.0208,Europe,339031,103000,3.29
India,,21,78,Asia,1366417754,3287263,415.67
Indonesia,,-0.7893,113.9213,Asia,270625568,1910931,141.62
Iran,,32,53,Asia,82913906,1648195,50.31
Iraq,,33,44,Asia,39309783,438317,89.68
Ireland,,53.1424,-7.6921,Europe,4882495,70273,69.48
Israel,,31,35,Asia,8519377,20770,410.18
Italy,,43,12,Europe,60550075,301339,200.94
Jamaica,,18.1096,-77.2975,Americas,2948279,10991,268.24
Japan,,36,138,Asia,126860301,377975,335.63
Jordan,,31.24,36.51,Asia,10101694,89342,113.07
Kazakhstan,,48.0196,66.9237,Asia,18551427,2724900,6.81
Kenya,,-0.0236,37.9062,Africa,52573973,580367,90.59
"Korea, South",,36,128,Asia,51225308,100210,511.18
Kosovo,,42.6026,20.903,Europe,1810463,10887,166.3
Kuwait,,29.5,47.75,Asia,4207083,17818,236.11
Kyrgyzstan,,41.2044,74.7661,Asia,6415850,199951,32.09
Laos,,19.8563,102.4955,Asia,7169455,236800,30.28
Latvia,,56.8796,24.6032,Europe,1906743,64559,29.53
Lebanon,,33.8547,35.8623,Asia,6855713,10452,655.92
Liberia,,6.4281,-9.4295,Africa,4937374,111369,44.33
Libya,,26.3351,17.2283,Africa,6777452,1759540,3.85
Liechtenstein,,47.14,9.55,Europe,38019,160,237.62
Lithuania,,55.1694,23.8813,Europe,2759627,65300,42.26
Luxembourg,,49.8153,6.1296,Europe,615729,2586,238.1
MS Zaandam,,0,0,Oceania,1045,1,1045
Madagascar,,-18.7669,46.8691,Africa,26969307,587041,45.94
Malawi,,-13.2543,34.3015,Africa,17563749,118484,148.24
Malaysia,,2.5,112.5,Asia,31949777,330803,96.58
Maldives,,3.2028,73.2207,Asia,530953,300,1769.84
Mali,,17.5707,-3.9962,Africa,19658031,1240192,15.85
Malta,,35.9375,14.3754,Europe,440372,316,1393.58
Mauritania,,21.0079,10.9408,Africa,4525696,1030700,4.39
Mauritius,,-20.2,57.5,Africa,1198575,2040,587.54
Mexico,,23.6345,-102.5528,Americas,127575529,1964375,64.94
Moldova,,47.4116,28.3699,Europe,4043263,33846,119.46
Monaco,,43.7333,7.4167,Europe,38964,2,19289.11
Mongolia,,46.8625,103.8467,Asia,3225167,1564110,2.06
Montenegro,,42.5,19.3,Europe,627987,13812,45.47
Morocco,,31.7917,-7.0926,Africa,36471769,446550,81.67
Mozambique,,-18.6657,35.5296,Africa,30366036,801590,37.88
Namibia,,-22.9576,18.4904,Africa,2494530,825615,3.02
Nepal,,28.1667,84.25,Asia,28608710,147181,194.38
Netherlands,Aruba,12.5186,-70.0358,Europe,112309,180,623.94
Netherlands,"Bonaire, Sint Eustatius and Saba",12.1784,-68.2385,Europe,25157,328,76.7
Netherlands,Curacao,12.1696,-68.99,Europe,158665,444,357.35
Netherlands,Sint Maarten,18.0425,-63.0548,Europe,41486,34,1220.18
Netherlands,,52.1326,5.2913,Europe,17097130,41850,408.53
New Zealand,,-40.9006,174.886,Oceania,4783063,270467,17.68
Nicaragua,,12.8654,-85.2072,Americas,6545502,130373,50.21
Niger,,17.6078,8.0817,Africa,23310715,1267000,18.4
Nigeria,,9.082,8.6753,Africa,200963599,923768,217.55
North Macedonia,,41.6086,21.7453,Europe,2083459,25713,81.03
Norway,,60.472,8.4689,Europe,5378857,323802,16.61
Oman,,21,57,Asia,4974986,309500,16.07
Pakistan,,30.3753,69.3451,Asia,216565318,907132,238.74
Panama,,8.538,-80.7821,Americas,4246439,75417,56.31
Papua New Guinea,,-6.315,143.9555,Oceania,8776109,462840,18.96
Paraguay,,-23.4425,-58.4438,Americas,7044636,406752,17.32
Peru,,-9.19,-75.0152,Americas,32510453,1285216,25.3
Philippines,,13,122,Asia,108116615,300000,360.39
Poland,,51.9194,19.1451,Europe,37887768,312696,121.16
Portugal,,39.3999,-8.2245,Europe,10226187,92090,111.05
Qatar,,25.3548,51.1839,Asia,2832067,11586,244.44
Romania,,45.9432,24.9668,Europe,19364557,238397,81.23
Russia,,60,90,Europe,145872256,17098246,8.53
Rwanda,,-1.9403,29.8739,Africa,12626950,26338,479.42
Saint Kitts and Nevis,,17.3578,-62.783,Americas,52823,261,202.39
Saint Lucia,,13.9094,-60.9789,Americas,182790,616,296.74
Saint Vincent and the Grenadines,,12.9843,-61.2872,Americas,110589,389,284.29
San Marino,,43.9424,12.4578,Europe,33860,61,555.08
Sao Tome and Principe,,0.1864,6.6131,Africa,211028,1001,210.82
Saudi Arabia,,24,45,Asia,34268528,2149690,15.94
Senegal,,14.4974,-14.4524,Africa,16296364,196722,82.84
Serbia,,44.0165,21.0059,Europe,8772235,88361,99.28
Seychelles,,-4.6796,55.492,Africa,97739,452,216.24
Sierra Leone,,8.4606,-11.7799,Africa,7092113,71740,98.86
Singapore,,1.2833,103.8333,Asia,5804337,716,8106.62
Slovakia,,48.669,19.699,Europe,5457013,49037,111.28
Slovenia,,46.1512,14.9955,Europe,2078654,20273,102.53
Somalia,,5.1521,46.1996,Africa,15442905,637657,24.22
South Africa,,-30.5595,22.9375,Africa,58558270,1221037,47.96
South Sudan,,6.877,31.307,Africa,10975927,619745,17.71
Spain,,40,-4,Europe,46736776,505992,92.37
Sri Lanka,,7,81,Asia,21323733,65610,325.01
Sudan,,12.8628,30.2176,Africa,42813238,1861484,23
Suriname,,3.9193,-56.0278,Americas,581372,163820,3.55
Sweden,,63,16,Europe,10036379,450295,22.29
Switzerland,,46.8182,8.2275,Europe,8591365,41284,208.1
Syria,,34.8021,38.9968,Asia,17070135,185180,92.18
Taiwan*,,23.7,121,Asia,23773876,36193,656.86
Tanzania,,-6.369,34.8888,Africa,58005463,945087,61.38
Thailand,,15,101,Asia,69037513,513120,134.54
Timor-Leste,,-8.8742,125.7275,Asia,1293119,14919,86.68
Togo,,8.6195,0.8248,Africa,8082366,56785,142.33
Trinidad and Tobago,,10.6918,-61.2225,Americas,1394973,5130,271.92
Tunisia,,34,9,Africa,11694719,163610,71.48
Turkey,,38.9637,35.2433,Asia,83429615,783562,106.47
US,Alabama,32.3182,-86.9023,Americas,4903185,135767,36.11
US,Alaska,61.3707,-152.4044,Americas,731545,1723337,0.42
US,Arizona,33.7298,-111.4312,Americas,7278717,295234,24.65
US,Arkansas,34.9697,-92.3731,Americas,3017825,137732,21.91
US,California,36.1162,-119.6816,Americas,39512223,423967,93.2
US,Colorado,39.0598,-105.3111,Americas,5758736,269601,21.36
US,Connecticut,41.5978,-72.7554,Americas,3565287,14357,248.33
US,Delaware,39.3185,-75.5071,Americas,973764,6446,151.06
US,District of Columbia,38.8974,-77.0268,Americas,705749,177,3987.28
US,Florida,27.7663,-81.6868,Americas,21477737,170312,126.11
US,Georgia,33.0406,-83.6431,Americas,10617423,153910,68.98
US,Guam,13.4443,144.7937,Americas,165718,1478,112.12
US,Hawaii,21.0943,-157.4983,Americas,1415872,28313,50.01
US,Idaho,44.2405,-114.4788,Americas,1787147,216443,8.26
US,Illinois,40.3495,-88.9861,Americas,12671821,149995,84.48
US,Indiana,39.8494,-86.2583,Americas,6732219,94326,71.37
US,Iowa,42.0115,-93.2105,Americas,3155070,145746,21.65
US,Kansas,38.5266,-96.7265,Americas,2913314,213100,13.67
US,Kentucky,37.6681,-84.6701,Americas,4467673,104656,42.69
US,Louisiana,31.1695,-91.8678,Americas,4648794,135659,34.27
US,Maine,44.6939,-69.3819,Americas,1344212,91633,14.67
US,Maryland,39.0639,-76.8021,Americas,6045680,32131,188.16
US,Massachusetts,42.2302,-71.5301,Americas,6949503,27336,254.23
US,Michigan,43.3266,-84.5361,Americas,9986857,250487,39.87
US,Minnesota,45.6945,-93.9002,Americas,5639632,225163,25.05
US,Mississippi,32.7416,-89.6787,Americas,2976149,125438,23.73
US,Missouri,38.4561,-92.2884,Americas,6137428,180540,33.99
US,Montana,46.9219,-110.4544,Americas,1068778,380831,2.81
US,Nebraska,41.1254,-98.2681,Americas,1934408,200330,9.66
US,Nevada,38.3135,-117.0554,Americas,3080156,286380,10.76
US,New Hampshire,43.4525,-71.5639,Americas,1359711,24214,56.15
US,New Jersey,40.2989,-74.521,Americas,8882190,22591,393.17
US,New Mexico,34.8405,-106.2485,Americas,2096829,314917,6.66
US,New York,42.1657,-74.9481,Americas,19453561,141297,137.68
US,North Carolina,35.6301,-79.8064,Americas,10488084,139391,75.24
US,North Dakota,47.5289,-99.784,Americas,762062,183108,4.16
US,Ohio,40.3888,-82.7649,Americas,11689100,116098,100.68
US,Oklahoma,35.5653,-96.9289,Americas,3956971,181037,21.86
US,Oregon,44.572,-122.0709,Americas,4217737,254799,16.55
US,Pennsylvania,40.5908,-77.2098,Americas,12801989,119280,107.33
US,Puerto Rico,18.2208,-66.5901,Americas,3193694,13791,231.58
US,Rhode Island,41.6809,-71.5118,Americas,1059361,4001,264.77
US,South Carolina,33.8569,-80.945,Americas,5148714,82933,62.08
US,South Dakota,44.2998,-99.4388,Americas,884659,199729,4.43
US,Tennessee,35.7478,-86.6923,Americas,6833174,109153,62.6
US,Texas,31.0545,-97.5635,Americas,28995881,695662,41.68
US,Utah,40.15,-111.8624,Americas,3205958,219882,14.58
US,Vermont,44.0459,-72.7107,Americas,623989,24906,25.05
US,Virgin Islands,18.3358,-64.8963,Americas,104914,1898,55.28
US,Virginia,37.7693,-78.17,Americas,8535519,110787,77.04
US,Washington,47.4009,-121.4905,Americas,7614893,184661,41.24
US,West Virginia,38.4912,-80.9545,Americas,1792065,62756,28.56
US,Wisconsin,44.2685,-89.6165,Americas,5822434,169635,34.32
US,Wyoming,42.756,-107.3025,Americas,578759,253335,2.28
Uganda,,1,32,Africa,44269594,241550,183.27
Ukraine,,48.3794,31.1656,Europe,43993638,603500,72.9
United Arab Emirates,,24,54,Asia,9770529,83600,116.87
United Kingdom,Anguilla,18.2206,-63.0686,Europe,14731,91,161.88
United Kingdom,Bermuda,32.3078,-64.7505,Europe,71176,53,1342.94
United Kingdom,British Virgin Islands,18.4207,-64.64,Europe,31758,153,207.57
United Kingdom,Cayman Islands,19.3133,-81.2546,Europe,68076,264,257.86
United Kingdom,Channel Islands,49.3723,-2.3644,Europe,170499,118,1444.91
United Kingdom,Falkland Islands (Malvinas),-51.7963,-59.5236,Europe,3398,12200,0.28
United Kingdom,Gibraltar,36.1408,-5.3536,Europe,32194,7,4599.14
United Kingdom,Isle of Man,54.2361,-4.5481,Europe,83314,572,145.65
United Kingdom,Montserrat,16.7425,-62.1874,Europe,4649,102,45.58
United Kingdom,Turks and Caicos Islands,21.694,71.7979,Europe,31458,616,51.07
United Kingdom,,55.3781,-3.436,Europe,67530172,242495,278.48
Uruguay,,-32.5228,-55.7658,Americas,3461734,176215,19.64
Uzbekistan,,41.3775,64.5853,Asia,32981716,447400,73.72
Venezuela,,6.4238,-66.5897,Americas,28515829,916445,31.12
Vietnam,,16,108,Asia,96462106,331212,291.24
West Bank and Gaza,,31.6,34.8,Asia,5190143,6020,862.15
Western Sahara,,24.2155,-12.8858,Africa,567402,266000,2.13
Zambia,,-15.4167,28.2833,Africa,17861030,752612,23.73
Zimbabwe,,-20,30,Africa,14645468,390757,37.48
