Territory X Date,target,cases,Territory,Date
Afghanistan X 3/9/20,0,4,Afghanistan,3/9/20
Afghanistan X 3/10/20,0,5,Afghanistan,3/10/20
Afghanistan X 3/11/20,0,7,Afghanistan,3/11/20
Afghanistan X 3/12/20,0,7,Afghanistan,3/12/20
Afghanistan X 3/13/20,0,7,Afghanistan,3/13/20
Afghanistan X 3/14/20,0,11,Afghanistan,3/14/20
Afghanistan X 3/15/20,0,16,Afghanistan,3/15/20
Afghanistan X 3/16/20,0,21,Afghanistan,3/16/20
Afghanistan X 3/17/20,0,22,Afghanistan,3/17/20
Afghanistan X 3/18/20,0,22,Afghanistan,3/18/20
Afghanistan X 3/19/20,0,22,Afghanistan,3/19/20
Afghanistan X 3/20/20,0,24,Afghanistan,3/20/20
Afghanistan X 3/21/20,0,24,Afghanistan,3/21/20
Afghanistan X 3/22/20,1,40,Afghanistan,3/22/20
Afghanistan X 3/23/20,1,40,Afghanistan,3/23/20
Afghanistan X 3/24/20,1,74,Afghanistan,3/24/20
Afghanistan X 3/25/20,2,84,Afghanistan,3/25/20
Afghanistan X 3/26/20,4,94,Afghanistan,3/26/20
Afghanistan X 3/27/20,4,110,Afghanistan,3/27/20
Afghanistan X 3/28/20,4,110,Afghanistan,3/28/20
Afghanistan X 3/29/20,4,120,Afghanistan,3/29/20
Afghanistan X 3/30/20,4,170,Afghanistan,3/30/20
Afghanistan X 3/31/20,4,174,Afghanistan,3/31/20
Afghanistan X 4/1/20,4,237,Afghanistan,4/1/20
Albania X 1/22/20,0,0,Albania,1/22/20
Albania X 1/23/20,0,0,Albania,1/23/20
Albania X 1/24/20,0,0,Albania,1/24/20
Albania X 1/25/20,0,0,Albania,1/25/20
Albania X 1/26/20,0,0,Albania,1/26/20
Albania X 1/27/20,0,0,Albania,1/27/20
Albania X 1/28/20,0,0,Albania,1/28/20
Albania X 1/29/20,0,0,Albania,1/29/20
Albania X 1/30/20,0,0,Albania,1/30/20
Albania X 1/31/20,0,0,Albania,1/31/20
Albania X 2/1/20,0,0,Albania,2/1/20
Albania X 2/2/20,0,0,Albania,2/2/20
Albania X 2/3/20,0,0,Albania,2/3/20
Albania X 2/4/20,0,0,Albania,2/4/20
Albania X 2/5/20,0,0,Albania,2/5/20
Albania X 2/6/20,0,0,Albania,2/6/20
Albania X 2/7/20,0,0,Albania,2/7/20
Albania X 2/8/20,0,0,Albania,2/8/20
Albania X 2/9/20,0,0,Albania,2/9/20
Albania X 2/10/20,0,0,Albania,2/10/20
Albania X 2/11/20,0,0,Albania,2/11/20
Albania X 2/12/20,0,0,Albania,2/12/20
Albania X 2/13/20,0,0,Albania,2/13/20
Albania X 2/14/20,0,0,Albania,2/14/20
Albania X 2/15/20,0,0,Albania,2/15/20
Albania X 2/16/20,0,0,Albania,2/16/20
Albania X 2/17/20,0,0,Albania,2/17/20
Albania X 2/18/20,0,0,Albania,2/18/20
Albania X 2/19/20,0,0,Albania,2/19/20
Albania X 2/20/20,0,0,Albania,2/20/20
Albania X 2/21/20,0,0,Albania,2/21/20
Albania X 2/22/20,0,0,Albania,2/22/20
Albania X 2/23/20,0,0,Albania,2/23/20
Albania X 2/24/20,0,0,Albania,2/24/20
Albania X 2/25/20,0,0,Albania,2/25/20
Albania X 2/26/20,0,0,Albania,2/26/20
Albania X 2/27/20,0,0,Albania,2/27/20
Albania X 2/28/20,0,0,Albania,2/28/20
Albania X 2/29/20,0,0,Albania,2/29/20
Albania X 3/1/20,0,0,Albania,3/1/20
Albania X 3/2/20,0,0,Albania,3/2/20
Albania X 3/3/20,0,0,Albania,3/3/20
Albania X 3/4/20,0,0,Albania,3/4/20
Albania X 3/5/20,0,0,Albania,3/5/20
Albania X 3/6/20,0,0,Albania,3/6/20
Albania X 3/7/20,0,0,Albania,3/7/20
Albania X 3/8/20,0,0,Albania,3/8/20
Albania X 3/9/20,0,2,Albania,3/9/20
Albania X 3/10/20,0,10,Albania,3/10/20
Albania X 3/11/20,1,12,Albania,3/11/20
Albania X 3/12/20,1,23,Albania,3/12/20
Albania X 3/13/20,1,33,Albania,3/13/20
Albania X 3/14/20,1,38,Albania,3/14/20
Albania X 3/15/20,1,42,Albania,3/15/20
Albania X 3/16/20,1,51,Albania,3/16/20
Albania X 3/17/20,1,55,Albania,3/17/20
Albania X 3/18/20,2,59,Albania,3/18/20
Albania X 3/19/20,2,64,Albania,3/19/20
Albania X 3/20/20,2,70,Albania,3/20/20
Albania X 3/21/20,2,76,Albania,3/21/20
Albania X 3/22/20,2,89,Albania,3/22/20
Albania X 3/23/20,4,104,Albania,3/23/20
Albania X 3/24/20,5,123,Albania,3/24/20
Albania X 3/25/20,5,146,Albania,3/25/20
Albania X 3/26/20,6,174,Albania,3/26/20
Albania X 3/27/20,8,186,Albania,3/27/20
Albania X 3/28/20,10,197,Albania,3/28/20
Albania X 3/29/20,10,212,Albania,3/29/20
Albania X 3/30/20,11,223,Albania,3/30/20
Albania X 3/31/20,15,243,Albania,3/31/20
Albania X 4/1/20,15,259,Albania,4/1/20
Algeria X 1/22/20,0,0,Algeria,1/22/20
Algeria X 1/23/20,0,0,Algeria,1/23/20
Algeria X 1/24/20,0,0,Algeria,1/24/20
Algeria X 1/25/20,0,0,Algeria,1/25/20
Algeria X 1/26/20,0,0,Algeria,1/26/20
Algeria X 1/27/20,0,0,Algeria,1/27/20
Algeria X 1/28/20,0,0,Algeria,1/28/20
Algeria X 1/29/20,0,0,Algeria,1/29/20
Algeria X 1/30/20,0,0,Algeria,1/30/20
Algeria X 1/31/20,0,0,Algeria,1/31/20
Algeria X 2/1/20,0,0,Algeria,2/1/20
Algeria X 2/2/20,0,0,Algeria,2/2/20
Algeria X 2/3/20,0,0,Algeria,2/3/20
Algeria X 2/4/20,0,0,Algeria,2/4/20
Algeria X 2/5/20,0,0,Algeria,2/5/20
Algeria X 2/6/20,0,0,Algeria,2/6/20
Algeria X 2/7/20,0,0,Algeria,2/7/20
Algeria X 2/8/20,0,0,Algeria,2/8/20
Algeria X 2/9/20,0,0,Algeria,2/9/20
Algeria X 2/10/20,0,0,Algeria,2/10/20
Algeria X 2/11/20,0,0,Algeria,2/11/20
Algeria X 2/12/20,0,0,Algeria,2/12/20
Algeria X 2/13/20,0,0,Algeria,2/13/20
Algeria X 2/14/20,0,0,Algeria,2/14/20
Algeria X 2/15/20,0,0,Algeria,2/15/20
Algeria X 2/16/20,0,0,Algeria,2/16/20
Algeria X 2/17/20,0,0,Algeria,2/17/20
Algeria X 2/18/20,0,0,Algeria,2/18/20
Algeria X 2/19/20,0,0,Algeria,2/19/20
Algeria X 2/20/20,0,0,Algeria,2/20/20
Algeria X 2/21/20,0,0,Algeria,2/21/20
Algeria X 2/22/20,0,0,Algeria,2/22/20
Algeria X 2/23/20,0,0,Algeria,2/23/20
Algeria X 2/24/20,0,0,Algeria,2/24/20
Algeria X 2/25/20,0,1,Algeria,2/25/20
Algeria X 2/26/20,0,1,Algeria,2/26/20
Algeria X 2/27/20,0,1,Algeria,2/27/20
Algeria X 2/28/20,0,1,Algeria,2/28/20
Algeria X 2/29/20,0,1,Algeria,2/29/20
Algeria X 3/1/20,0,1,Algeria,3/1/20
Algeria X 3/2/20,0,3,Algeria,3/2/20
Algeria X 3/3/20,0,5,Algeria,3/3/20
Algeria X 3/4/20,0,12,Algeria,3/4/20
Algeria X 3/5/20,0,12,Algeria,3/5/20
Algeria X 3/6/20,0,17,Algeria,3/6/20
Algeria X 3/7/20,0,17,Algeria,3/7/20
Algeria X 3/8/20,0,19,Algeria,3/8/20
Algeria X 3/9/20,0,20,Algeria,3/9/20
Algeria X 3/10/20,0,20,Algeria,3/10/20
Algeria X 3/11/20,0,20,Algeria,3/11/20
Algeria X 3/12/20,1,24,Algeria,3/12/20
Algeria X 3/13/20,2,26,Algeria,3/13/20
Algeria X 3/14/20,3,37,Algeria,3/14/20
Algeria X 3/15/20,4,48,Algeria,3/15/20
Algeria X 3/16/20,4,54,Algeria,3/16/20
Algeria X 3/17/20,4,60,Algeria,3/17/20
Algeria X 3/18/20,7,74,Algeria,3/18/20
Algeria X 3/19/20,9,87,Algeria,3/19/20
Algeria X 3/20/20,11,90,Algeria,3/20/20
Algeria X 3/21/20,15,139,Algeria,3/21/20
Algeria X 3/22/20,17,201,Algeria,3/22/20
Algeria X 3/23/20,17,230,Algeria,3/23/20
Algeria X 3/24/20,19,264,Algeria,3/24/20
Algeria X 3/25/20,21,302,Algeria,3/25/20
Algeria X 3/26/20,25,367,Algeria,3/26/20
Algeria X 3/27/20,26,409,Algeria,3/27/20
Algeria X 3/28/20,29,454,Algeria,3/28/20
Algeria X 3/29/20,31,511,Algeria,3/29/20
Algeria X 3/30/20,35,584,Algeria,3/30/20
Algeria X 3/31/20,44,716,Algeria,3/31/20
Algeria X 4/1/20,58,847,Algeria,4/1/20
Andorra X 1/22/20,0,0,Andorra,1/22/20
Andorra X 1/23/20,0,0,Andorra,1/23/20
Andorra X 1/24/20,0,0,Andorra,1/24/20
Andorra X 1/25/20,0,0,Andorra,1/25/20
Andorra X 1/26/20,0,0,Andorra,1/26/20
Andorra X 1/27/20,0,0,Andorra,1/27/20
Andorra X 1/28/20,0,0,Andorra,1/28/20
Andorra X 1/29/20,0,0,Andorra,1/29/20
Andorra X 1/30/20,0,0,Andorra,1/30/20
Andorra X 1/31/20,0,0,Andorra,1/31/20
Andorra X 2/1/20,0,0,Andorra,2/1/20
Andorra X 2/2/20,0,0,Andorra,2/2/20
Andorra X 2/3/20,0,0,Andorra,2/3/20
Andorra X 2/4/20,0,0,Andorra,2/4/20
Andorra X 2/5/20,0,0,Andorra,2/5/20
Andorra X 2/6/20,0,0,Andorra,2/6/20
Andorra X 2/7/20,0,0,Andorra,2/7/20
Andorra X 2/8/20,0,0,Andorra,2/8/20
Andorra X 2/9/20,0,0,Andorra,2/9/20
Andorra X 2/10/20,0,0,Andorra,2/10/20
Andorra X 2/11/20,0,0,Andorra,2/11/20
Andorra X 2/12/20,0,0,Andorra,2/12/20
Andorra X 2/13/20,0,0,Andorra,2/13/20
Andorra X 2/14/20,0,0,Andorra,2/14/20
Andorra X 2/15/20,0,0,Andorra,2/15/20
Andorra X 2/16/20,0,0,Andorra,2/16/20
Andorra X 2/17/20,0,0,Andorra,2/17/20
Andorra X 2/18/20,0,0,Andorra,2/18/20
Andorra X 2/19/20,0,0,Andorra,2/19/20
Andorra X 2/20/20,0,0,Andorra,2/20/20
Andorra X 2/21/20,0,0,Andorra,2/21/20
Andorra X 2/22/20,0,0,Andorra,2/22/20
Andorra X 2/23/20,0,0,Andorra,2/23/20
Andorra X 2/24/20,0,0,Andorra,2/24/20
Andorra X 2/25/20,0,0,Andorra,2/25/20
Andorra X 2/26/20,0,0,Andorra,2/26/20
Andorra X 2/27/20,0,0,Andorra,2/27/20
Andorra X 2/28/20,0,0,Andorra,2/28/20
Andorra X 2/29/20,0,0,Andorra,2/29/20
Andorra X 3/1/20,0,0,Andorra,3/1/20
Andorra X 3/2/20,0,1,Andorra,3/2/20
Andorra X 3/3/20,0,1,Andorra,3/3/20
Andorra X 3/4/20,0,1,Andorra,3/4/20
Andorra X 3/5/20,0,1,Andorra,3/5/20
Andorra X 3/6/20,0,1,Andorra,3/6/20
Andorra X 3/7/20,0,1,Andorra,3/7/20
Andorra X 3/8/20,0,1,Andorra,3/8/20
Andorra X 3/9/20,0,1,Andorra,3/9/20
Andorra X 3/10/20,0,1,Andorra,3/10/20
Andorra X 3/11/20,0,1,Andorra,3/11/20
Andorra X 3/12/20,0,1,Andorra,3/12/20
Andorra X 3/13/20,0,1,Andorra,3/13/20
Andorra X 3/14/20,0,1,Andorra,3/14/20
Andorra X 3/15/20,0,1,Andorra,3/15/20
Andorra X 3/16/20,0,2,Andorra,3/16/20
Andorra X 3/17/20,0,39,Andorra,3/17/20
Andorra X 3/18/20,0,39,Andorra,3/18/20
Andorra X 3/19/20,0,53,Andorra,3/19/20
Andorra X 3/20/20,0,75,Andorra,3/20/20
Andorra X 3/21/20,0,88,Andorra,3/21/20
Andorra X 3/22/20,1,113,Andorra,3/22/20
Andorra X 3/23/20,1,133,Andorra,3/23/20
Andorra X 3/24/20,1,164,Andorra,3/24/20
Andorra X 3/25/20,1,188,Andorra,3/25/20
Andorra X 3/26/20,3,224,Andorra,3/26/20
Andorra X 3/27/20,3,267,Andorra,3/27/20
Andorra X 3/28/20,3,308,Andorra,3/28/20
Andorra X 3/29/20,6,334,Andorra,3/29/20
Andorra X 3/30/20,8,370,Andorra,3/30/20
Andorra X 3/31/20,12,376,Andorra,3/31/20
Andorra X 4/1/20,14,390,Andorra,4/1/20
Angola X 1/22/20,0,0,Angola,1/22/20
Angola X 1/23/20,0,0,Angola,1/23/20
Angola X 1/24/20,0,0,Angola,1/24/20
Angola X 1/25/20,0,0,Angola,1/25/20
Angola X 1/26/20,0,0,Angola,1/26/20
Angola X 1/27/20,0,0,Angola,1/27/20
Angola X 1/28/20,0,0,Angola,1/28/20
Angola X 1/29/20,0,0,Angola,1/29/20
Angola X 1/30/20,0,0,Angola,1/30/20
Angola X 1/31/20,0,0,Angola,1/31/20
Angola X 2/1/20,0,0,Angola,2/1/20
Angola X 2/2/20,0,0,Angola,2/2/20
Angola X 2/3/20,0,0,Angola,2/3/20
Angola X 2/4/20,0,0,Angola,2/4/20
Angola X 2/5/20,0,0,Angola,2/5/20
Angola X 2/6/20,0,0,Angola,2/6/20
Angola X 2/7/20,0,0,Angola,2/7/20
Angola X 2/8/20,0,0,Angola,2/8/20
Angola X 2/9/20,0,0,Angola,2/9/20
Angola X 2/10/20,0,0,Angola,2/10/20
Angola X 2/11/20,0,0,Angola,2/11/20
Angola X 2/12/20,0,0,Angola,2/12/20
Angola X 2/13/20,0,0,Angola,2/13/20
Angola X 2/14/20,0,0,Angola,2/14/20
Angola X 2/15/20,0,0,Angola,2/15/20
Angola X 2/16/20,0,0,Angola,2/16/20
Angola X 2/17/20,0,0,Angola,2/17/20
Angola X 2/18/20,0,0,Angola,2/18/20
Angola X 2/19/20,0,0,Angola,2/19/20
Angola X 2/20/20,0,0,Angola,2/20/20
Angola X 2/21/20,0,0,Angola,2/21/20
Angola X 2/22/20,0,0,Angola,2/22/20
Angola X 2/23/20,0,0,Angola,2/23/20
Angola X 2/24/20,0,0,Angola,2/24/20
Angola X 2/25/20,0,0,Angola,2/25/20
Angola X 2/26/20,0,0,Angola,2/26/20
Angola X 2/27/20,0,0,Angola,2/27/20
Angola X 2/28/20,0,0,Angola,2/28/20
Angola X 2/29/20,0,0,Angola,2/29/20
Angola X 3/1/20,0,0,Angola,3/1/20
Angola X 3/2/20,0,0,Angola,3/2/20
Angola X 3/3/20,0,0,Angola,3/3/20
Angola X 3/4/20,0,0,Angola,3/4/20
Angola X 3/5/20,0,0,Angola,3/5/20
Angola X 3/6/20,0,0,Angola,3/6/20
Angola X 3/7/20,0,0,Angola,3/7/20
Angola X 3/8/20,0,0,Angola,3/8/20
Angola X 3/9/20,0,0,Angola,3/9/20
Angola X 3/10/20,0,0,Angola,3/10/20
Angola X 3/11/20,0,0,Angola,3/11/20
Angola X 3/12/20,0,0,Angola,3/12/20
Angola X 3/13/20,0,0,Angola,3/13/20
Angola X 3/14/20,0,0,Angola,3/14/20
Angola X 3/15/20,0,0,Angola,3/15/20
Angola X 3/16/20,0,0,Angola,3/16/20
Angola X 3/17/20,0,0,Angola,3/17/20
Angola X 3/18/20,0,0,Angola,3/18/20
Angola X 3/19/20,0,0,Angola,3/19/20
Angola X 3/20/20,0,1,Angola,3/20/20
Angola X 3/21/20,0,2,Angola,3/21/20
Angola X 3/22/20,0,2,Angola,3/22/20
Angola X 3/23/20,0,3,Angola,3/23/20
Angola X 3/24/20,0,3,Angola,3/24/20
Angola X 3/25/20,0,3,Angola,3/25/20
Angola X 3/26/20,0,4,Angola,3/26/20
Angola X 3/27/20,0,4,Angola,3/27/20
Angola X 3/28/20,0,5,Angola,3/28/20
Angola X 3/29/20,2,7,Angola,3/29/20
Angola X 3/30/20,2,7,Angola,3/30/20
Angola X 3/31/20,2,7,Angola,3/31/20
Angola X 4/1/20,2,8,Angola,4/1/20
Antigua and Barbuda X 1/22/20,0,0,Antigua and Barbuda,1/22/20
Antigua and Barbuda X 1/23/20,0,0,Antigua and Barbuda,1/23/20
Antigua and Barbuda X 1/24/20,0,0,Antigua and Barbuda,1/24/20
Antigua and Barbuda X 1/25/20,0,0,Antigua and Barbuda,1/25/20
Antigua and Barbuda X 1/26/20,0,0,Antigua and Barbuda,1/26/20
Antigua and Barbuda X 1/27/20,0,0,Antigua and Barbuda,1/27/20
Antigua and Barbuda X 1/28/20,0,0,Antigua and Barbuda,1/28/20
Antigua and Barbuda X 1/29/20,0,0,Antigua and Barbuda,1/29/20
Antigua and Barbuda X 1/30/20,0,0,Antigua and Barbuda,1/30/20
Antigua and Barbuda X 1/31/20,0,0,Antigua and Barbuda,1/31/20
Antigua and Barbuda X 2/1/20,0,0,Antigua and Barbuda,2/1/20
Antigua and Barbuda X 2/2/20,0,0,Antigua and Barbuda,2/2/20
Antigua and Barbuda X 2/3/20,0,0,Antigua and Barbuda,2/3/20
Antigua and Barbuda X 2/4/20,0,0,Antigua and Barbuda,2/4/20
Antigua and Barbuda X 2/5/20,0,0,Antigua and Barbuda,2/5/20
Antigua and Barbuda X 2/6/20,0,0,Antigua and Barbuda,2/6/20
Antigua and Barbuda X 2/7/20,0,0,Antigua and Barbuda,2/7/20
Antigua and Barbuda X 2/8/20,0,0,Antigua and Barbuda,2/8/20
Antigua and Barbuda X 2/9/20,0,0,Antigua and Barbuda,2/9/20
Antigua and Barbuda X 2/10/20,0,0,Antigua and Barbuda,2/10/20
Antigua and Barbuda X 2/11/20,0,0,Antigua and Barbuda,2/11/20
Antigua and Barbuda X 2/12/20,0,0,Antigua and Barbuda,2/12/20
Antigua and Barbuda X 2/13/20,0,0,Antigua and Barbuda,2/13/20
Antigua and Barbuda X 2/14/20,0,0,Antigua and Barbuda,2/14/20
Antigua and Barbuda X 2/15/20,0,0,Antigua and Barbuda,2/15/20
Antigua and Barbuda X 2/16/20,0,0,Antigua and Barbuda,2/16/20
Antigua and Barbuda X 2/17/20,0,0,Antigua and Barbuda,2/17/20
Antigua and Barbuda X 2/18/20,0,0,Antigua and Barbuda,2/18/20
Antigua and Barbuda X 2/19/20,0,0,Antigua and Barbuda,2/19/20
Antigua and Barbuda X 2/20/20,0,0,Antigua and Barbuda,2/20/20
Antigua and Barbuda X 2/21/20,0,0,Antigua and Barbuda,2/21/20
Antigua and Barbuda X 2/22/20,0,0,Antigua and Barbuda,2/22/20
Antigua and Barbuda X 2/23/20,0,0,Antigua and Barbuda,2/23/20
Antigua and Barbuda X 2/24/20,0,0,Antigua and Barbuda,2/24/20
Antigua and Barbuda X 2/25/20,0,0,Antigua and Barbuda,2/25/20
Antigua and Barbuda X 2/26/20,0,0,Antigua and Barbuda,2/26/20
Antigua and Barbuda X 2/27/20,0,0,Antigua and Barbuda,2/27/20
Antigua and Barbuda X 2/28/20,0,0,Antigua and Barbuda,2/28/20
Antigua and Barbuda X 2/29/20,0,0,Antigua and Barbuda,2/29/20
Antigua and Barbuda X 3/1/20,0,0,Antigua and Barbuda,3/1/20
Antigua and Barbuda X 3/2/20,0,0,Antigua and Barbuda,3/2/20
Antigua and Barbuda X 3/3/20,0,0,Antigua and Barbuda,3/3/20
Antigua and Barbuda X 3/4/20,0,0,Antigua and Barbuda,3/4/20
Antigua and Barbuda X 3/5/20,0,0,Antigua and Barbuda,3/5/20
Antigua and Barbuda X 3/6/20,0,0,Antigua and Barbuda,3/6/20
Antigua and Barbuda X 3/7/20,0,0,Antigua and Barbuda,3/7/20
Antigua and Barbuda X 3/8/20,0,0,Antigua and Barbuda,3/8/20
Antigua and Barbuda X 3/9/20,0,0,Antigua and Barbuda,3/9/20
Antigua and Barbuda X 3/10/20,0,0,Antigua and Barbuda,3/10/20
Antigua and Barbuda X 3/11/20,0,0,Antigua and Barbuda,3/11/20
Antigua and Barbuda X 3/12/20,0,0,Antigua and Barbuda,3/12/20
Antigua and Barbuda X 3/13/20,0,1,Antigua and Barbuda,3/13/20
Antigua and Barbuda X 3/14/20,0,1,Antigua and Barbuda,3/14/20
Antigua and Barbuda X 3/15/20,0,1,Antigua and Barbuda,3/15/20
Antigua and Barbuda X 3/16/20,0,1,Antigua and Barbuda,3/16/20
Antigua and Barbuda X 3/17/20,0,1,Antigua and Barbuda,3/17/20
Antigua and Barbuda X 3/18/20,0,1,Antigua and Barbuda,3/18/20
Antigua and Barbuda X 3/19/20,0,1,Antigua and Barbuda,3/19/20
Antigua and Barbuda X 3/20/20,0,1,Antigua and Barbuda,3/20/20
Antigua and Barbuda X 3/21/20,0,1,Antigua and Barbuda,3/21/20
Antigua and Barbuda X 3/22/20,0,1,Antigua and Barbuda,3/22/20
Antigua and Barbuda X 3/23/20,0,3,Antigua and Barbuda,3/23/20
Antigua and Barbuda X 3/24/20,0,3,Antigua and Barbuda,3/24/20
Antigua and Barbuda X 3/25/20,0,3,Antigua and Barbuda,3/25/20
Antigua and Barbuda X 3/26/20,0,7,Antigua and Barbuda,3/26/20
Antigua and Barbuda X 3/27/20,0,7,Antigua and Barbuda,3/27/20
Antigua and Barbuda X 3/28/20,0,7,Antigua and Barbuda,3/28/20
Antigua and Barbuda X 3/29/20,0,7,Antigua and Barbuda,3/29/20
Antigua and Barbuda X 3/30/20,0,7,Antigua and Barbuda,3/30/20
Antigua and Barbuda X 3/31/20,0,7,Antigua and Barbuda,3/31/20
Antigua and Barbuda X 4/1/20,0,7,Antigua and Barbuda,4/1/20
Argentina X 1/22/20,0,0,Argentina,1/22/20
Argentina X 1/23/20,0,0,Argentina,1/23/20
Argentina X 1/24/20,0,0,Argentina,1/24/20
Argentina X 1/25/20,0,0,Argentina,1/25/20
Argentina X 1/26/20,0,0,Argentina,1/26/20
Argentina X 1/27/20,0,0,Argentina,1/27/20
Argentina X 1/28/20,0,0,Argentina,1/28/20
Argentina X 1/29/20,0,0,Argentina,1/29/20
Argentina X 1/30/20,0,0,Argentina,1/30/20
Argentina X 1/31/20,0,0,Argentina,1/31/20
Argentina X 2/1/20,0,0,Argentina,2/1/20
Argentina X 2/2/20,0,0,Argentina,2/2/20
Argentina X 2/3/20,0,0,Argentina,2/3/20
Argentina X 2/4/20,0,0,Argentina,2/4/20
Argentina X 2/5/20,0,0,Argentina,2/5/20
Argentina X 2/6/20,0,0,Argentina,2/6/20
Argentina X 2/7/20,0,0,Argentina,2/7/20
Argentina X 2/8/20,0,0,Argentina,2/8/20
Argentina X 2/9/20,0,0,Argentina,2/9/20
Argentina X 2/10/20,0,0,Argentina,2/10/20
Argentina X 2/11/20,0,0,Argentina,2/11/20
Argentina X 2/12/20,0,0,Argentina,2/12/20
Argentina X 2/13/20,0,0,Argentina,2/13/20
Argentina X 2/14/20,0,0,Argentina,2/14/20
Argentina X 2/15/20,0,0,Argentina,2/15/20
Argentina X 2/16/20,0,0,Argentina,2/16/20
Argentina X 2/17/20,0,0,Argentina,2/17/20
Argentina X 2/18/20,0,0,Argentina,2/18/20
Argentina X 2/19/20,0,0,Argentina,2/19/20
Argentina X 2/20/20,0,0,Argentina,2/20/20
Argentina X 2/21/20,0,0,Argentina,2/21/20
Argentina X 2/22/20,0,0,Argentina,2/22/20
Argentina X 2/23/20,0,0,Argentina,2/23/20
Argentina X 2/24/20,0,0,Argentina,2/24/20
Argentina X 2/25/20,0,0,Argentina,2/25/20
Argentina X 2/26/20,0,0,Argentina,2/26/20
Argentina X 2/27/20,0,0,Argentina,2/27/20
Argentina X 2/28/20,0,0,Argentina,2/28/20
Argentina X 2/29/20,0,0,Argentina,2/29/20
Argentina X 3/1/20,0,0,Argentina,3/1/20
Argentina X 3/2/20,0,0,Argentina,3/2/20
Argentina X 3/3/20,0,1,Argentina,3/3/20
Argentina X 3/4/20,0,1,Argentina,3/4/20
Argentina X 3/5/20,0,1,Argentina,3/5/20
Argentina X 3/6/20,0,2,Argentina,3/6/20
Argentina X 3/7/20,0,8,Argentina,3/7/20
Argentina X 3/8/20,1,12,Argentina,3/8/20
Argentina X 3/9/20,1,12,Argentina,3/9/20
Argentina X 3/10/20,1,17,Argentina,3/10/20
Argentina X 3/11/20,1,19,Argentina,3/11/20
Argentina X 3/12/20,1,19,Argentina,3/12/20
Argentina X 3/13/20,2,31,Argentina,3/13/20
Argentina X 3/14/20,2,34,Argentina,3/14/20
Argentina X 3/15/20,2,45,Argentina,3/15/20
Argentina X 3/16/20,2,56,Argentina,3/16/20
Argentina X 3/17/20,2,68,Argentina,3/17/20
Argentina X 3/18/20,2,79,Argentina,3/18/20
Argentina X 3/19/20,3,97,Argentina,3/19/20
Argentina X 3/20/20,3,128,Argentina,3/20/20
