Word,Pos,Language,split
izizi,NOUN,ibo,dev
ugbo,NOUN,ibo,dev
anabatata,VERB,ibo,dev
n’,SCONJ,ibo,dev
ejikwa,VERB,ibo,dev
kaosiladị,ADV,ibo,dev
agbanwèbela,VERB,ibo,dev
nwayọ-,ADV,ibo,dev
nwanyọ,ADV,ibo,dev
ịgụ,VERB,ibo,dev
eru,VERB,ibo,dev
agabiga,VERB,ibo,dev
yoruba,PROPN,ibo,dev
ube,NOUN,ibo,dev
jirikwa,VERB,ibo,dev
akụoyibo,NOUN,ibo,dev
sie,VERB,ibo,dev
eghekwa,VERB,ibo,dev
eghe,VERB,ibo,dev
kwado,VERB,ibo,dev
enyekwa,VERB,ibo,dev
ańụ,VERB,ibo,dev
ebupụtabala,VERB,ibo,dev
jubeghị,VERB,ibo,dev
eju,VERB,ibo,dev
ahụkwa,VERB,ibo,dev
njikọ,NOUN,ibo,dev
zụọ,ADP,ibo,dev
azụụ,VERB,ibo,dev
nso-,NOUN,ibo,dev
óke,NOUN,ibo,dev
ọñụ,NOUN,ibo,dev
merùbe,VERB,ibo,dev
dọtàrà,VERB,ibo,dev
nkwanye,NOUN,ibo,dev
nyégára,VERB,ibo,dev
mepụtagòrò,VERB,ibo,dev
dara,VERB,ibo,dev
ụda,NOUN,ibo,dev
agbambọ,NOUN,ibo,dev
nwekwazịrị,VERB,ibo,dev
malite,VERB,ibo,dev
ruchara,VERB,ibo,dev
maọbụkwanụ,CCONJ,ibo,dev
rịọkwazịrị,VERB,ibo,dev
kachasị,ADV,ibo,dev
mbà,NOUN,ibo,dev
echetakwa,VERB,ibo,dev
àkụ,NOUN,ibo,dev
kpara,VERB,ibo,dev
rịọ,VERB,ibo,dev
agba,VERB,ibo,dev
gharakwa,VERB,ibo,dev
ichezọ,VERB,ibo,dev
sìrì,VERB,ibo,dev
pụta,VERB,ibo,dev
nọkwàzịrị,VERB,ibo,dev
rie,VERB,ibo,dev
mekwazie,VERB,ibo,dev
nkiri,NOUN,ibo,dev
ezie,NOUN,ibo,dev
agbànyèghị,VERB,ibo,dev
mgbanwe,NOUN,ibo,dev
nwegoro,VERB,ibo,dev
fọkwara,VERB,ibo,dev
amachàbèghị,VERB,ibo,dev
kwụrụ,VERB,ibo,dev
nweghịkwanụ,VERB,ibo,dev
nwụrụ,ADP,ibo,dev
bilie,VERB,ibo,dev
eluigwe,NOUN,ibo,dev
ọ,SCONJ,ibo,dev
ọkụmmụọ,NOUN,ibo,dev
metere,VERB,ibo,dev
chukwu,NOUN,ibo,dev
mègbùrù,VERB,ibo,dev
i,PRON,ibo,dev
ị,PRON,ibo,dev
nà-,AUX,ibo,dev
mma,VERB,ibo,dev
dịbara,VERB,ibo,dev
gboo,NOUN,ibo,dev
ogìgè,NOUN,ibo,dev
imirikiti,DET,ibo,dev
nchụaja,NOUN,ibo,dev
ògigè,NOUN,ibo,dev
ralph,PROPN,ibo,dev
ndidi,PROPN,ibo,dev
obi,PROPN,ibo,dev
ebumnobi,NOUN,ibo,dev
tute,VERB,ibo,dev
uche,NOUN,ibo,dev
aza,VERB,ibo,dev
ọcha,ADJ,ibo,dev
ogige,NOUN,ibo,dev
kpọkuzie,VERB,ibo,dev
kaba,VERB,ibo,dev
kwụba,VERB,ibo,dev
ọtọ,NOUN,ibo,dev
mgba,NOUN,ibo,dev
ụmụoji,PROPN,ibo,dev
idemili,PROPN,ibo,dev
merùbèrè,VERB,ibo,dev
ewu,VERB,ibo,dev
èwù,VERB,ibo,dev
jiri,ADP,ibo,dev
ụzọiyi,PROPN,ibo,dev
ekwu,VERB,ibo,dev
mbanefo,PROPN,ibo,dev
odeakwụkwọ,NOUN,ibo,dev
ọkpụtọrọkpụ,NOUN,ibo,dev
minịstịrị,NOUN,ibo,dev
emmanuel,PROPN,ibo,dev
ume,VERB,ibo,dev
nọchitere,VERB,ibo,dev
mkpa,NOUN,ibo,dev
ịkwàdo,VERB,ibo,dev
ichekwaba,VERB,ibo,dev
izugbe,NOUN,ibo,dev
kwupụtakwàrà,VERB,ibo,dev
njikere,NOUN,ibo,dev
ijikọ,VERB,ibo,dev
mezùpụta,VERB,ibo,dev
abụghịzị,VERB,ibo,dev
nkwọwa,NOUN,ibo,dev
ahụtakwa,VERB,ibo,dev
nweghị,VERB,ibo,dev
rụrụ,VERB,ibo,dev
dịị,VERB,ibo,dev
kpọkukwazie,VERB,ibo,dev
ịkwalite,VERB,ibo,dev
ọbara,NOUN,ibo,dev
ehù,VERB,ibo,dev
kụnyesikwara,VERB,ibo,dev
ọkụkụ,NOUN,ibo,dev
ede,NOUN,ibo,dev
akpụ,NOUN,ibo,dev
ọnà,NOUN,ibo,dev
ụgụ,NOUN,ibo,dev
ọkwụrụ,NOUN,ibo,dev
ụgbọgụrụ,NOUN,ibo,dev
ubi,NOUN,ibo,dev
atụ,VERB,ibo,dev
karịrị,VERB,ibo,dev
nara,VERB,ibo,dev
zụọ,VERB,ibo,dev
ruzịrị,VERB,ibo,dev
tochaa,VERB,ibo,dev
amalite,VERB,ibo,dev
ribe,VERB,ibo,dev
nwegasịrị,VERB,ibo,dev
dabarà,VERB,ibo,dev
atụ,NOUN,ibo,dev
ìhèjiọkụ,NOUN,ibo,dev
imo,PROPN,ibo,dev
ọka,PROPN,ibo,dev
awka,VERB,ibo,dev
nnobi,PROPN,ibo,dev
njọkụ,PROPN,ibo,dev
ilo,VERB,ibo,dev
ogidi,PROPN,ibo,dev
tọsịa,VERB,ibo,dev
wepùsie,VERB,ibo,dev
ochie,ADJ,ibo,dev
nabata,VERB,ibo,dev
kwanyere,VERB,ibo,dev
abàlà,NOUN,ibo,dev
azọ,VERB,ibo,dev
kọọrọ,VERB,ibo,dev
miri,VERB,ibo,dev
emi,VERB,ibo,dev
añaa,ADV,ibo,dev
ntọala,NOUN,ibo,dev
okike,NOUN,ibo,dev
history,NOUN,ibo,dev
abụkwazị,VERB,ibo,dev
erimeri,NOUN,ibo,dev
atụrụ,NOUN,ibo,dev
taraba,VERB,ibo,dev
añụkwa,VERB,ibo,dev
ghebe,VERB,ibo,dev
oghe,NOUN,ibo,dev
pụtaba,VERB,ibo,dev
karama,NOUN,ibo,dev
ụtazị,NOUN,ibo,dev
abụba,ADJ,ibo,dev
ose,NOUN,ibo,dev
ụkpaka,NOUN,ibo,dev
ogiri,NOUN,ibo,dev
amụ,VERB,ibo,dev
bụgbadonọọ,VERB,ibo,dev
añụrị,NOUN,ibo,dev
asị,VERB,ibo,dev
agwụna,VERB,ibo,dev
agwụ,VERB,ibo,dev
iteghete,NUM,ibo,dev
teta,VERB,ibo,dev
selitere,VERB,ibo,dev
be,NOUN,ibo,dev
akpọkù,VERB,ibo,dev
enyi,NOUN,ibo,dev
metụtara,VERB,ibo,dev
sonye,VERB,ibo,dev
ebugodi,VERB,ibo,dev
ọbụghị,VERB,ibo,dev
uwa,NOUN,ibo,dev
ahụtazị,VERB,ibo,dev
mechigoro,VERB,ibo,dev
kpamkpam,ADV,ibo,dev
ahụta,VERB,ibo,dev
isì,NOUN,ibo,dev
akpara,VERB,ibo,dev
kama,SCONJ,ibo,dev
nwanne,NOUN,ibo,dev
udummiri,NOUN,ibo,dev
bàtàrà,VERB,ibo,dev
kọwaa,VERB,ibo,dev
gbasie,VERB,ibo,dev
butere,VERB,ibo,dev
gụnyèrè,VERB,ibo,dev
eyichi,VERB,ibo,dev
ekesàra,VERB,ibo,dev
butèrè,VERB,ibo,dev
tụnye,VERB,ibo,dev
ụtụ,NOUN,ibo,dev
kwezie,VERB,ibo,dev
ịdị,VERB,ibo,dev
nkwàdo,NOUN,ibo,dev
kpọkuzịrị,VERB,ibo,dev
ofesi,NOUN,ibo,dev
ñomie,VERB,ibo,dev
akparamagwa,NOUN,ibo,dev
agakwa,VERB,ibo,dev
agbasa,VERB,ibo,dev
nyekwazịrị,VERB,ibo,dev
ndụmọdụ,NOUN,ibo,dev
erube,VERB,ibo,dev
ntụziaka,NOUN,ibo,dev
banyare,VERB,ibo,dev
.,PRON,ibo,dev
nnekwu,ADJ,ibo,dev
emere,VERB,ibo,dev
okeọkpa,NOUN,ibo,dev
ọgọ,NOUN,ibo,dev
jikọọ,VERB,ibo,dev
buo,VERB,ibo,dev
enyī,NOUN,ibo,dev
mfe,NOUN,ibo,dev
gbochie,VERB,ibo,dev
mfesà,NOUN,ibo,dev
nje,NOUN,ibo,dev
n',AUX,ibo,dev
ebute,VERB,ibo,dev
amalitela,VERB,ibo,dev
isii,NUM,ibo,dev
steeeti,NOUN,ibo,dev
tụọ,VERB,ibo,dev
gbanyere,VERB,ibo,dev
ụgbọ,NOUN,ibo,dev
mkpi,NOUN,ibo,dev
dịkwa,VERB,ibo,dev
ibe,NOUN,ibo,dev
nọkwara,VERB,ibo,dev
mmalite,NOUN,ibo,dev
izu,NOUN,ibo,dev
zigara,VERB,ibo,dev
omebe,NOUN,ibo,dev
chọrọ,VERB,ibo,dev
ịkpọlite,VERB,ibo,dev
kọmissiọna,NOUN,ibo,dev
ministrịrị,NOUN,ibo,dev
jikọtara,VERB,ibo,dev
bashir,PROPN,ibo,dev
manzo,PROPN,ibo,dev
kọwakwara,VERB,ibo,dev
agbataobi,NOUN,ibo,dev
tọrọ,VERB,ibo,dev
kọwatara,VERB,ibo,dev
tọhapụrụla,VERB,ibo,dev
chọpụtara,VERB,ibo,dev
edọkọ,VERB,ibo,dev
20o4,NUM,ibo,dev
si,PRON,ibo,dev
lagos,PROPN,ibo,dev
kpọta,VERB,ibo,dev
oyi,PROPN,ibo,dev
batachara,VERB,ibo,dev
gosipụta,VERB,ibo,dev
ise,NUM,ibo,dev
nyebe,VERB,ibo,dev
ọgwụgwọ,NOUN,ibo,dev
ahụbu,VERB,ibo,dev
ọdịmma,NOUN,ibo,dev
ụmụnwanyi,NOUN,ibo,dev
dọkịnta,NOUN,ibo,dev
victoria,PROPN,ibo,dev
chikwelu,PROPN,ibo,dev
nwa,ADJ,ibo,dev
jikọtakwara,PROPN,ibo,dev
nwanyi,NOUN,ibo,dev
kwuputara,VERB,ibo,dev
nyocha,NOUN,ibo,dev
chọpụta,VERB,ibo,dev
hafekwa,VERB,ibo,dev
umudioka,PROPN,ibo,dev
wetara,VERB,ibo,dev
mmerụ,NOUN,ibo,dev
amadi,NOUN,ibo,dev
mma,NOUN,ibo,dev
bọọ,VERB,ibo,dev
ka,ADV,ibo,dev
anụ,NOUN,ibo,dev
okwupụta,NOUN,ibo,dev
ojii,ADJ,ibo,dev
ebere,PROPN,ibo,dev
amaraizu,PROPN,ibo,dev
mwakpo,NOUN,ibo,dev
amalitego,VERB,ibo,dev
nnyocha,NOUN,ibo,dev
egwụ,NOUN,ibo,dev
ewụ,VERB,ibo,dev
aka,VERB,ibo,dev
kelee,VERB,ibo,dev
ọnyinye,NOUN,ibo,dev
gozie,VERB,ibo,dev
echi,VERB,ibo,dev
echichi,NOUN,ibo,dev
agwọ,VERB,ibo,dev
mana,CCONJ,ibo,dev
ọbụ,VERB,ibo,dev
gịnị,PRON,ibo,dev
emezi,VERB,ibo,dev
egbuzi,VERB,ibo,dev
alụsọ,VERB,ibo,dev
ha,NOUN,ibo,dev
ọgụ,NOUN,ibo,dev
jọrọ,VERB,ibo,dev
njọ,NOUN,ibo,dev
bụghi,VERB,ibo,dev
ejiri,NOUN,ibo,dev
mara,NOUN,ibo,dev
ọgbụrị,NOUN,ibo,dev
tuo,VERB,ibo,dev
diocese,NOUN,ibo,dev
most,ADV,ibo,dev
rev,ADJ,ibo,dev
dr’,NOUN,ibo,dev
paulinus,PROPN,ibo,dev
ezeokafor,PROPN,ibo,dev
jonas,PROPN,ibo,dev
benson,PROPN,ibo,dev
okoye,PROPN,ibo,dev
peter,PROPN,ibo,dev
eberechukwu,PROPN,ibo,dev
okpaleke,PROPN,ibo,dev
ịlekọta,VERB,ibo,dev
ụkwụ,ADJ,ibo,dev
ezinaulo,NOUN,ibo,dev
odịbọ,NOUN,ibo,dev
ohu,NOUN,ibo,dev
ọkenye,NOUN,ibo,dev
ọke,NOUN,ibo,dev
dịịrị,VERB,ibo,dev
izụkọta,VERB,ibo,dev
ọrịrị,NOUN,ibo,dev
ońụnụ,NOUN,ibo,dev
ola,NOUN,ibo,dev
nti,NOUN,ibo,dev
enwe,VERB,ibo,dev
enwe,PART,ibo,dev
meere,VERB,ibo,dev
makana,ADP,ibo,dev
biazie,VERB,ibo,dev
region’,NOUN,ibo,dev
kewapụtara,VERB,ibo,dev
ọhụrụ,ADJ,ibo,dev
nuputara,VERB,ibo,dev
ańụri,NOUN,ibo,dev
chụọ,VERB,ibo,dev
mass’,NOUN,ibo,dev
achina,PROPN,ibo,dev
nimo,PROPN,ibo,dev
agha,NOUN,ibo,dev
kara,VERB,ibo,dev
aka,PART,ibo,dev
a,VERB,ibo,dev
naghị,VERB,ibo,dev
ngwọrọ,NOUN,ibo,dev
oku,NOUN,ibo,dev
merube,VERB,ibo,dev
easter’,NOUN,ibo,dev
katọliki,NOUN,ibo,dev
joseph,PROPN,ibo,dev
agụleri,PROPN,ibo,dev
agụ,NOUN,ibo,dev
ohere,NOUN,ibo,dev
mezie,VERB,ibo,dev
christ,PROPN,ibo,dev
ịnwụ,VERB,ibo,dev
obe,NOUN,ibo,dev
ntụnye,NOUN,ibo,dev
ode,NOUN,ibo,dev
nyegara,VERB,ibo,dev
sir’,NOUN,ibo,dev
nwokoye,PROPN,ibo,dev
ga-,VERB,ibo,dev
ewetara,VERB,ibo,dev
ntọhapụ,NOUN,ibo,dev
mbuli,NOUN,ibo,dev
ọbụnadị,VERB,ibo,dev
nru,NOUN,ibo,dev
ọbụ,NOUN,ibo,dev
ịtụ,VERB,ibo,dev
mmamma,NOUN,ibo,dev
a,ADV,ibo,dev
atọ’,ADJ,ibo,dev
ọranyelụ,PROPN,ibo,dev
ojoto’,PROPN,ibo,dev
roland,PROPN,ibo,dev
odegbo,PROPN,ibo,dev
ịnọnyere,VERB,ibo,dev
kelere,VERB,ibo,dev
kpekwazie,VERB,ibo,dev
amara,NOUN,ibo,dev
chịa,VERB,ibo,dev
ikpube,VERB,ibo,dev
glerald,PROPN,ibo,dev
okpu,NOUN,ibo,dev
kpọnkwem,ADV,ibo,dev
inye,VERB,ibo,dev
onyìnye,NOUN,ibo,dev
ịkụ,VERB,ibo,dev
ngajị,NOUN,ibo,dev
magbuo,VERB,ibo,dev
ezumezu,NOUN,ibo,dev
kenneth,PROPN,ibo,dev
dike,PROPN,ibo,dev
ịgụpụta,VERB,ibo,dev
ọzọ,PRON,ibo,dev
ede,VERB,ibo,dev
achịcha,NOUN,ibo,dev
ikpughepu,VERB,ibo,dev
igboezu,PROPN,ibo,dev
ọlụchukwu,PROPN,ibo,dev
ịgbazị,VERB,ibo,dev
ọnya,NOUN,ibo,dev
zọpụta,VERB,ibo,dev
amịtaghị,VERB,ibo,dev
rukwaa,VERB,ibo,dev
hụzịrị,VERB,ibo,dev
tọgbọrọ,VERB,ibo,dev
echi,NOUN,ibo,dev
dika,SCONJ,ibo,dev
akaebe,NOUN,ibo,dev
monday,NOUN,ibo,dev
hammer’,NOUN,ibo,dev
akọrọngwa,NOUN,ibo,dev
ozo,PRON,ibo,dev
rigoro,VERB,ibo,dev
awụdata,VERB,ibo,dev
bekee,NOUN,ibo,dev
water,NOUN,ibo,dev
fall’,NOUN,ibo,dev
mebisibe,VERB,ibo,dev
ogwọrọ,VERB,ibo,dev
enili,VERB,ibo,dev
round,NOUN,ibo,dev
about’,NOUN,ibo,dev
abakpa,PROPN,ibo,dev
jisi,VERB,ibo,dev
ịrụ,NOUN,ibo,dev
ịjụ,VERB,ibo,dev
rulụ,VERB,ibo,dev
owepụtara,VERB,ibo,dev
ị,VERB,ibo,dev
ele,VERB,ibo,dev
nakwazi,CCONJ,ibo,dev
ahia,NOUN,ibo,dev
adịgo,VERB,ibo,dev
wepụgo,VERB,ibo,dev
ọgbata,NOUN,ibo,dev
rịọkwara,VERB,ibo,dev
mmadu,NOUN,ibo,dev
ichegbuụ,VERB,ibo,dev
adakwasị,VERB,ibo,dev
ahapụkwa,VERB,ibo,dev
anyi,PRON,ibo,dev
mohammadu,PROPN,ibo,dev
onwa,NOUN,ibo,dev
nọvemba,PROPN,ibo,dev
pụkụ,NUM,ibo,dev
asaa,NUM,ibo,dev
maka,NOUN,ibo,dev
ngosiputa,NOUN,ibo,dev
akpụrụ-,VERB,ibo,dev
akpụ,PART,ibo,dev
late,ADJ,ibo,dev
ezeogo’,PROPN,ibo,dev
dr,NOUN,ibo,dev
akanu,PROPN,ibo,dev
ibiam,PROPN,ibo,dev
may,PROPN,ibo,dev
westminster,PROPN,ibo,dev
kwesighị,VERB,ibo,dev
inwe,VERB,ibo,dev
machibidoro,VERB,ibo,dev
jezọs,PROPN,ibo,dev
mathew,PROPN,ibo,dev
ayokunle,PROPN,ibo,dev
atụmatụ,NOUN,ibo,dev
doro,VERB,ibo,dev
anọkọ,VERB,ibo,dev
mụta,VERB,ibo,dev
bụladi,VERB,ibo,dev
britain,PROPN,ibo,dev
kwadoro,VERB,ibo,dev
omeghi,VERB,ibo,dev
can,PROPN,ibo,dev
anabata,VERB,ibo,dev
bụla,VERB,ibo,dev
adaghi,VERB,ibo,dev
ntụzi,NOUN,ibo,dev
british,NOUN,ibo,dev
prime,ADJ,ibo,dev
minister’,NOUN,ibo,dev
amuru,VERB,ibo,dev
akọ,NOUN,ibo,dev
ụmụanụmanụ,NOUN,ibo,dev
agbanyeghị,ADP,ibo,dev
anụọhịa,NOUN,ibo,dev
anabataghị,VERB,ibo,dev
mmekọ,NOUN,ibo,dev
ikpeazụ,NOUN,ibo,dev
njọ,ADJ,ibo,dev
kpochapụ,VERB,ibo,dev
sodom,PROPN,ibo,dev
gomorrah,PROPN,ibo,dev
akwụkwụ,NOUN,ibo,dev
fr’,NOUN,ibo,dev
jude,PROPN,ibo,dev
egbuom,PROPN,ibo,dev
patrick’,PROPN,ibo,dev
s,DET,ibo,dev
catholic,NOUN,ibo,dev
church,NOUN,ibo,dev
amucha,PROPN,ibo,dev
okpuro,NOUN,ibo,dev
umuwala,PROPN,ibo,dev
wakporo,VERB,ibo,dev
elekere,NOUN,ibo,dev
abali,NOUN,ibo,dev
akpụ,VERB,ibo,dev
anara,PROPN,ibo,dev
dịrị,VERB,ibo,dev
egosi,VERB,ibo,dev
oji,NOUN,ibo,dev
egbe,NOUN,ibo,dev
ezu,VERB,ibo,dev
ohi,NOUN,ibo,dev
onweghị,VERB,ibo,dev
gbuo,VERB,ibo,dev
achọghị,VERB,ibo,dev
mejọrọ,VERB,ibo,dev
mgbasa,NOUN,ibo,dev
ozi,NOUN,ibo,dev
nso,ADV,ibo,dev
omekome,NOUN,ibo,dev
gbukwara,VERB,ibo,dev
amatabeghị,VERB,ibo,dev
gbagburu,VERB,ibo,dev
agbasawanye,VERB,ibo,dev
ekwela,VERB,ibo,dev
ịgbata,VERB,ibo,dev
ọgbara,NOUN,ibo,dev
gharịị’,VERB,ibo,dev
dapụtara,VERB,ibo,dev
takpọrọ,VERB,ibo,dev
ghọrọzie,VERB,ibo,dev
okwute,NOUN,ibo,dev
icheku,NOUN,ibo,dev
ísì,NOUN,ibo,dev
esí,VERB,ibo,dev
egbuola,VERB,ibo,dev
ise,VERB,ibo,dev
umuozu,PROPN,ibo,dev
otolo,PROPN,ibo,dev
nweela,VERB,ibo,dev
zipụrụ,VERB,ibo,dev
mịnịstịrị,NOUN,ibo,dev
ịgaru,VERB,ibo,dev
gbasoo,VERB,ibo,dev
west,PROPN,ibo,dev
province,NOUN,ibo,dev
ndigbo,PROPN,ibo,dev
ntorobịa,NOUN,ibo,dev
youth,NOUN,ibo,dev
council,NOUN,ibo,dev
worldwide’,NOUN,ibo,dev
oyc,PROPN,ibo,dev
akpokuona,VERB,ibo,dev
rịo,VERB,ibo,dev
gbata,VERB,ibo,dev
agbarụọna,VERB,ibo,dev
kpọkuo,VERB,ibo,dev
egbu,VERB,ibo,dev
ugep,PROPN,ibo,dev
tinyekwara,VERB,ibo,dev
isikwuato,PROPN,ibo,dev
bụzi,VERB,ibo,dev
olulu,NOUN,ibo,dev
odum,NOUN,ibo,dev
ibute,VERB,ibo,dev
ụgbọala,NOUN,ibo,dev
ebumnuche,NOUN,ibo,dev
nta,NOUN,ibo,dev
osote,ADJ,ibo,dev
obinna,PROPN,ibo,dev
achuonye,PROPN,ibo,dev
nghọta,NOUN,ibo,dev
ọkachasi,VERB,ibo,dev
ịhụ,VERB,ibo,dev
east’,PROPN,ibo,dev
ketara,VERB,ibo,dev
hapụrụ,VERB,ibo,dev
nwụọla,VERB,ibo,dev
okwuputa,NOUN,ibo,dev
agafe,VERB,ibo,dev
agafe,PART,ibo,dev
buga,VERB,ibo,dev
nwogu,PROPN,ibo,dev
job,PROPN,ibo,dev
shimankane,PROPN,ibo,dev
hospital’,NOUN,ibo,dev
rustenburg,PROPN,ibo,dev
mana,ADP,ibo,dev
nọzi,VERB,ibo,dev
rụtụkwara,VERB,ibo,dev
disemba,PROPN,ibo,dev
enweghị,VERB,ibo,dev
inapụtanwu,VERB,ibo,dev
gakwara,VERB,ibo,dev
agbapụtarala,VERB,ibo,dev
bail’,NOUN,ibo,dev
ebe,ADV,ibo,dev
otu,ADV,ibo,dev
sila,VERB,ibo,dev
ruru,VERB,ibo,dev
akatọọna,VERB,ibo,dev
gwa,VERB,ibo,dev
lebaa,VERB,ibo,dev
arụ,NOUN,ibo,dev
enyo,VERB,ibo,dev
enyo,PART,ibo,dev
kọmishona,NOUN,ibo,dev
ojii,NOUN,ibo,dev
maazi,NOUN,ibo,dev
anthony,PROPN,ibo,dev
ogbizi,PROPN,ibo,dev
kpụgharịrị,VERB,ibo,dev
taa,VERB,ibo,dev
ụta,NOUN,ibo,dev
isonye,VERB,ibo,dev
anglikan,NOUN,ibo,dev
onitsha,PROPN,ibo,dev
dọkita,NOUN,ibo,dev
owen,PROPN,ibo,dev
nwokolo,PROPN,ibo,dev
adụọla,VERB,ibo,dev
kwapụ,VERB,ibo,dev
kwaga,VERB,ibo,dev
wepụtara,VERB,ibo,dev
birigodu,VERB,ibo,dev
akwusị,VERB,ibo,dev
belata,VERB,ibo,dev
arịrịọ,VERB,ibo,train
ogbaru,PROPN,ibo,train
ubi,NOUN,ibo,train
ọkachamara,NOUN,ibo,train
septemba,PROPN,ibo,train
mkpụrụụbọchị,NOUN,ibo,train
ịgwa,VERB,ibo,train
gbatulata,VERB,ibo,train
oteh,PROPN,ibo,train
edochaghị,VERB,ibo,train
osila,VERB,ibo,train
thinkers,PROPN,ibo,train
corner’,PROPN,ibo,train
eburula,VERB,ibo,train
kpọrọkwa,VERB,ibo,train
kpụmkpụm,ADV,ibo,train
ọmambala,PROPN,ibo,train
zukọrọ,VERB,ibo,train
nuputakwa,VERB,ibo,train
ịgwè,NOUN,ibo,train
iri,VERB,ibo,train
igboezunu,PROPN,ibo,train
agụleri,PROPN,ibo,train
east’,PROPN,ibo,train
izù,NOUN,ibo,train
tony-,PROPN,ibo,train
collins,PROPN,ibo,train
nwabụnwanne,PROPN,ibo,train
kwàlite,VERB,ibo,train
jude,PROPN,ibo,train
thaddeus,PROPN,ibo,train
inoma,PROPN,ibo,train
chukwukelue,PROPN,ibo,train
ebele,PROPN,ibo,train
funarịrị,VERB,ibo,train
okwuoto,PROPN,ibo,train
imoka,PROPN,ibo,train
nọkwazi,VERB,ibo,train
life,NOUN,ibo,train
jacket’,NOUN,ibo,train
enwetaghị,VERB,ibo,train
kpuru,VERB,ibo,train
emergency,NOUN,ibo,train
agency',NOUN,ibo,train
bute,VERB,ibo,train
diginity,NOUN,ibo,train
restoration,NOUN,ibo,train
association,NOUN,ibo,train
hdra,PROPN,ibo,train
ụlọmkpọrọ,NOUN,ibo,train
kpalitere,VERB,ibo,train
atụkpu,VERB,ibo,train
gbahapụ,VERB,ibo,train
bụna,DET,ibo,train
ịgbapụta,VERB,ibo,train
onyebuchi,PROPN,ibo,train
onyema,PROPN,ibo,train
tụkpuru,VERB,ibo,train
ịgbawa,VERB,ibo,train
burglary’,NOUN,ibo,train
abraham,PROPN,ibo,train
idemmiri,PROPN,ibo,train
north,PROPN,ibo,train
tụpkuru,VERB,ibo,train
wayo,NOUN,ibo,train
advanced,ADJ,ibo,train
fee,ADJ,ibo,train
fraud,NOUN,ibo,train
migrant,NOUN,ibo,train
farmers,NOUN,ibo,train
children,NOUN,ibo,train
aguibeje,PROPN,ibo,train
ezike,PROPN,ibo,train
nathaniel,PROPN,ibo,train
universal,ADJ,ibo,train
basic,ADJ,ibo,train
board,NOUN,ibo,train
ịdakpo,VERB,ibo,train
imetọ,VERB,ibo,train
bànyere,ADP,ibo,train
mkparịta,NOUN,ibo,train
ụbụbọ,NOUN,ibo,train
ikeje,PROPN,ibo,train
asogwa,PROPN,ibo,train
nwekwara,VERB,ibo,train
achụ,PART,ibo,train
ichekwa,VERB,ibo,train
pat,PROPN,ibo,train
anụbeghị,VERB,ibo,train
metọrọ,VERB,ibo,train
jụba,VERB,ibo,train
kọọrọ,VERB,ibo,train
izụtara,VERB,ibo,train
klassị,NOUN,ibo,train
kwadoolu,VERB,ibo,train
ịgbazite,VERB,ibo,train
igbazite,VERB,ibo,train
commercial,ADJ,ibo,train
banks’,NOUN,ibo,train
okutoba,PROPN,ibo,train
